47,10,26,3,7
39,21,31,4,9
43,31,77,4,3
55,41,67,2,0
2,0,0,0,0
48,32,63,4,11
28,14,30,5,0
44,35,60,7,4
38,17,35,2,0
47,43,73,6,2
44,20,46,6,9
33,28,50,7,6
6,15,23,2,0
4,10,13,0,0
38,27,43,3,5
45,20,44,7,8
47,18,39,2,2
48,26,52,1,8
47,31,56,7,9
0,1,1,0,0
10,18,22,1,2
4,9,9,0,0
42,9,30,5,6
40,28,64,6,1
34,22,52,3,4
30,19,51,2,4
51,38,69,6,11
4,11,14,3,1
33,26,41,5,6
0,2,4,0,0
51,38,79,5,11
10,16,22,2,1
58,27,57,4,15
39,13,34,5,5
41,25,55,3,0
18,24,29,3,0
40,24,68,6,13
2,5,6,1,1
37,39,65,6,5
2,5,6,0,0
4,9,11,2,0
0,0,0,0,0
0,0,0,0,0
32,8,36,3,0
58,30,48,0,1
60,36,58,0,0
39,26,61,5,6
4,18,19,1,1
51,35,76,5,9
45,19,56,3,1
12,9,12,3,0
26,20,38,3,8
4,14,17,3,1
30,28,63,5,4
45,31,59,5,5
42,22,45,7,15
2,0,0,0,0
2,6,8,2,1
2,6,7,2,0
53,22,53,5,3
6,14,17,2,0
39,34,75,7,9
47,20,54,3,4
24,24,31,4,5
37,26,38,6,3
38,23,49,4,3
42,37,68,7,9
52,34,66,6,2
43,22,39,6,5
26,24,45,3,6
42,16,41,3,2
36,28,53,5,0
44,22,41,4,7
14,17,20,3,2
8,16,21,0,0
39,25,59,5,0
13,15,36,4,1
16,23,35,6,1
27,11,31,3,4
0,0,3,0,0
47,22,41,3,2
12,11,25,5,0
6,10,12,1,1
29,8,24,3,2
16,18,23,2,0
6,2,3,2,0
32,33,30,1,4
38,19,43,3,8
8,24,29,3,1
36,20,57,3,0
41,16,45,6,5
4,5,5,0,0
42,25,43,5,8
0,0,0,0,0
34,28,33,6,12
37,17,50,5,4
42,23,58,1,0
8,6,10,3,0
2,0,0,0,0
2,0,0,2,0
4,10,13,0,0
6,17,19,3,1
38,21,36,5,2
2,2,3,2,0
2,2,3,2,0
59,34,52,3,4
2,6,7,2,0
28,14,29,0,2
8,9,15,0,0
39,29,66,6,6
12,12,15,3,3
2,6,7,0,0
57,23,42,6,2
26,12,29,4,2
16,9,30,4,3
20,8,22,3,1
19,5,19,3,2
21,11,22,4,1
6,2,6,2,0
4,1,1,0,0
4,1,1,0,0
31,17,42,3,4
10,14,19,3,2
4,2,3,0,0
6,12,17,3,1
32,9,33,3,4
45,20,49,3,2
18,15,23,5,12
31,12,27,3,2
4,4,4,0,0
32,31,47,5,4
39,33,58,7,12
48,21,58,3,4
18,16,17,5,3
36,22,51,3,2
33,17,37,6,4
39,28,67,6,3
38,24,44,4,5
2,10,13,0,0
11,15,21,6,1
24,19,28,5,6
44,23,51,3,0
43,16,43,5,4
6,13,15,3,1
2,0,0,0,0
44,32,63,6,1
52,29,50,4,6
6,19,23,3,2
52,22,45,4,12
2,9,11,3,1
43,15,26,3,2
4,13,19,0,0
2,2,3,2,0
28,30,33,9,11
2,13,14,1,1
17,19,39,5,1
2,4,7,2,0
6,13,17,3,1
0,5,9,2,0
